no2,n2_2019,ZEV_2019_pct,ZEV_2013_pct,ZCTA,pop,medin_g,pct_cll,pct_hgh,pct_wht,mdn_ncm,pct_pvr,pct_wn_,mdn_hm_,pct_aut,p__2013,pct_pb_,pct_wfh,D1C5_IN,D3A,D4C,NtWlkIn
-1.649265921194206,6.239535052233638,14.60095485132138,9.867452135493373,90049,36418,40.6,78.7,97.8,85.1,129688,3.3,51,2000001,70.8,76,2.8,13.3,0.285221492627739,10.566180131022795,6.864889206098825,8.127509588904463
-0.6229777306513746,10.851178370074319,9.117221418234443,3.761969904240766,90056,7649,49.3,51.9,95.5,16.7,92656,3,67.1,991300,80.7,88.3,1.8,10.2,0.239279184707949,21.14420206980727,9.73718013025794,14.356642447982935
-1.8862408158091402,12.723535777417386,4.848005424341734,1.7564311805393644,90057,50152,33.5,20.2,57.2,34.5,37700,26.5,3.7,457000,39.1,36.3,39.3,3.7,0.799137889887607,34.29082457811493,36.43734861605374,15.703840808533267
-2.346732387153345,15.818772372497502,5.149763531266421,1.899335232668566,90058,2718,22.7,5.6,43.4,68.2,21964,52.4,12,328400,59.1,60.8,14.4,2.9,10.464217406147053,14.474018384840823,37.38145615695406,11.316647633100466
-1.288569314893273,12.470730967820824,1.986727838767819,0.6134969325153374,90059,46185,27.7,7.7,59.7,34.9,44838,24.2,47.1,348100,76.7,68.5,7.2,3.4,0.311253731352244,26.86968015072918,22.590177798139617,14.656615175777393
-1.1019506637792702,11.668417668987193,2.0277729359130787,0.619618572463185,90061,27873,31.2,7.4,57.8,45.5,42500,23.6,41.9,361500,77.5,69,7.2,1.8,1.86570192201846,27.385264513234663,15.12398384663612,13.441386242364208
-0.9403495511503088,12.08862419968606,2.687083230427266,0.6853416727659858,90062,35916,34.6,13.2,64.1,26.4,49443,15.1,45.9,444000,73.9,63.2,12.5,3.3,0.065538621619294,35.29964999003808,16.609362047855928,15.02053063795422
-3.317188844417842,16.541474858010606,3.2818952401651815,0.7734209322632958,90063,53980,31.9,10.4,53.6,39.1,48559,15.6,39.8,406600,72.9,66.4,7.8,2.6,0.576576215062082,27.172648622510696,21.718261121106153,13.94862095849308
-1.0203269198684861,8.483059295726374,13.14319317847692,7.510741284603252,90064,25925,40.3,67.8,94.2,69.5,102117,4.7,55.2,1178000,75.6,76.8,3.4,11.2,1.207911035061677,26.43369273351188,24.967059948031416,16.333500123607678
-3.0331750948374303,13.853101880932128,8.562592616455126,3.8608654076021995,90065,46461,37.2,36,77.3,48.4,67479,11,48.6,706900,69.9,69.1,7.3,6.7,1.044070929526927,25.03516274877695,10.93726247128943,13.086711979724601
