estimate,value,method,samples,i
σ2,0.0017431714776063039,ols,1668,10
σ2net,0.0017431714776063039,ols,1668,10
ψ,1.458174153452216,plugin,1668,11
σ2boot,NaN,plugin,1668,11
ψ,1.4141086189510395,ipw,1668,11
σ2,0.0006969402976921374,ipw,1668,11
σ2net,0.00086003248802463,ipw,1668,11
σ2boot,NaN,ipw,1668,11
stabilized,false,ipw,1668,11
ψ,1.4072808689461431,sipw,1668,11
σ2,0.0004224815842201829,sipw,1668,11
σ2net,0.0006023901799063702,sipw,1668,11
σ2boot,NaN,sipw,1668,11
stabilized,true,sipw,1668,11
ψ,1.4549623935191076,onestep,1668,11
σ2,0.0004219995494243426,onestep,1668,11
σ2net,0.0005746927429412388,onestep,1668,11
σ2boot,NaN,onestep,1668,11
ψ,1.45444088131574,tmle,1668,11
σ2,0.00043601277427013477,tmle,1668,11
σ2net,0.0006067254660658681,tmle,1668,11
σ2boot,NaN,tmle,1668,11
ψ,1.4367484068633152,plugin_iid,1668,11
σ2boot,NaN,plugin_iid,1668,11
ψ,1.41209867911718,ipw_iid,1668,11
σ2,0.0005499909864670695,ipw_iid,1668,11
σ2net,0.0005499909864670699,ipw_iid,1668,11
σ2boot,NaN,ipw_iid,1668,11
stabilized,false,ipw_iid,1668,11
ψ,1.4211348930685963,sipw_iid,1668,11
σ2,0.0004224300191134001,sipw_iid,1668,11
σ2net,0.00042243001911340043,sipw_iid,1668,11
σ2boot,NaN,sipw_iid,1668,11
stabilized,true,sipw_iid,1668,11
ψ,1.4305153555108479,onestep_iid,1668,11
σ2,0.0004027127098915596,onestep_iid,1668,11
σ2net,0.0004027127098915595,onestep_iid,1668,11
σ2boot,NaN,onestep_iid,1668,11
ψ,1.434584403173243,tmle_iid,1668,11
σ2,0.0004055172663893941,tmle_iid,1668,11
σ2net,0.0004055172663893946,tmle_iid,1668,11
σ2boot,NaN,tmle_iid,1668,11
ψ,1.4363412303698475,ols,1668,11
σ2,0.0016391194040909338,ols,1668,11
σ2net,0.0016391194040909338,ols,1668,11
ψ,1.4903683518191364,plugin,1668,12
σ2boot,NaN,plugin,1668,12
ψ,1.4418846210799825,ipw,1668,12
σ2,0.0007199383205400133,ipw,1668,12
σ2net,0.0009497726442969493,ipw,1668,12
σ2boot,NaN,ipw,1668,12
stabilized,false,ipw,1668,12
ψ,1.4492014655307532,sipw,1668,12
σ2,0.0004461808927060282,sipw,1668,12
σ2net,0.0005462297108159063,sipw,1668,12
σ2boot,NaN,sipw,1668,12
stabilized,true,sipw,1668,12
ψ,1.4885844549773501,onestep,1668,12
σ2,0.00042391314379106683,onestep,1668,12
σ2net,0.0005063709756013593,onestep,1668,12
σ2boot,NaN,onestep,1668,12
ψ,1.4911626243225617,tmle,1668,12
σ2,0.0004275722657885213,tmle,1668,12
σ2net,0.0005180351878735405,tmle,1668,12
σ2boot,NaN,tmle,1668,12
ψ,1.4706313772760593,plugin_iid,1668,12
σ2boot,NaN,plugin_iid,1668,12
ψ,1.446650850963552,ipw_iid,1668,12
σ2,0.0006664714959902406,ipw_iid,1668,12
σ2net,0.0006664714959902409,ipw_iid,1668,12
σ2boot,NaN,ipw_iid,1668,12
stabilized,false,ipw_iid,1668,12
ψ,1.4485020060341374,sipw_iid,1668,12
σ2,0.0004294472660001484,sipw_iid,1668,12
σ2net,0.00042944726600014824,sipw_iid,1668,12
σ2boot,NaN,sipw_iid,1668,12
stabilized,true,sipw_iid,1668,12
ψ,1.463955271788696,onestep_iid,1668,12
σ2,0.0004080246039216691,onestep_iid,1668,12
σ2net,0.00040802460392166885,onestep_iid,1668,12
σ2boot,NaN,onestep_iid,1668,12
ψ,1.4655695264314568,tmle_iid,1668,12
σ2,0.00042892651516990223,tmle_iid,1668,12
σ2net,0.00042892651516990293,tmle_iid,1668,12
σ2boot,NaN,tmle_iid,1668,12
ψ,1.4704122631008814,ols,1668,12
σ2,0.0016649137799063718,ols,1668,12
σ2net,0.0016649137799063718,ols,1668,12
ψ,1.4727518068471255,plugin,1668,13
σ2boot,NaN,plugin,1668,13
ψ,1.429572783709865,ipw,1668,13
σ2,0.0006180272196373867,ipw,1668,13
σ2net,0.000811291615958685,ipw,1668,13
σ2boot,NaN,ipw,1668,13
stabilized,false,ipw,1668,13
ψ,1.4295382575122202,sipw,1668,13
σ2,0.0004242866297856522,sipw,1668,13
σ2net,0.0006485317498766146,sipw,1668,13
σ2boot,NaN,sipw,1668,13
stabilized,true,sipw,1668,13
ψ,1.473728727891588,onestep,1668,13
σ2,0.00043060453446205156,onestep,1668,13
σ2net,0.0005928089501202125,onestep,1668,13
σ2boot,NaN,onestep,1668,13
ψ,1.4781993498446262,tmle,1668,13
σ2,0.00043849224253416914,tmle,1668,13
σ2net,0.0005957404281254502,tmle,1668,13
σ2boot,NaN,tmle,1668,13
ψ,1.4514276617421604,plugin_iid,1668,13
σ2boot,NaN,plugin_iid,1668,13
ψ,1.4340346530249848,ipw_iid,1668,13
σ2,0.0006945898934565947,ipw_iid,1668,13
σ2net,0.0006945898934565938,ipw_iid,1668,13
σ2boot,NaN,ipw_iid,1668,13
stabilized,false,ipw_iid,1668,13
ψ,1.430396877663225,sipw_iid,1668,13
σ2,0.0004092459436434731,sipw_iid,1668,13
σ2net,0.0004092459436434735,sipw_iid,1668,13
σ2boot,NaN,sipw_iid,1668,13
stabilized,true,sipw_iid,1668,13
ψ,1.4540339155676354,onestep_iid,1668,13
σ2,0.00041386401191683515,onestep_iid,1668,13
σ2net,0.0004138640119168356,onestep_iid,1668,13
σ2boot,NaN,onestep_iid,1668,13
ψ,1.4475174105678557,tmle_iid,1668,13
σ2,0.00040076901722799283,tmle_iid,1668,13
σ2net,0.00040076901722799267,tmle_iid,1668,13
σ2boot,NaN,tmle_iid,1668,13
ψ,1.451457952492155,ols,1668,13
σ2,0.0016546181419799296,ols,1668,13
σ2net,0.0016546181419799296,ols,1668,13
ψ,1.4925231583404766,plugin,1668,14
σ2boot,NaN,plugin,1668,14
ψ,1.434407203432659,ipw,1668,14
σ2,0.0006590586555649129,ipw,1668,14
σ2net,0.0008006166226275446,ipw,1668,14
σ2boot,NaN,ipw,1668,14
stabilized,false,ipw,1668,14
ψ,1.4475396214493879,sipw,1668,14
σ2,0.0003828965875462613,sipw,1668,14
σ2net,0.000427293372268962,sipw,1668,14
σ2boot,NaN,sipw,1668,14
stabilized,true,sipw,1668,14
